Запрос,Уточнение запроса,Тип,Вопрос,Ответ
Управление,Нет,Мобильная связь,Как сменить владельца номера?,"
            Для переоформления номера на другого владельца, необходимо посетить один из Центров продаж и обслуживания.
           
            Переоформление выполняется на основании заявлений, 
от клиента, принимающего номер, и клиента, передающего номер или его 
представителя на основании доверенности.
           
            Для переоформления договора также обязательно наличие паспорта у каждого клиента.
            Стоимость услуги — 35 руб. 40 коп.
           Действующему Клиенту необходимо: оформить письменное заявление на переоформление в любом
              Центре продаж и обслуживания;оплатить счета за уже предоставленные услуги связи. Новому Клиенту: обратиться в любой Центр продаж и обслуживания;подписать Договор о предоставлении услуг мобильной
              связи. Услуга требует тщательной проверки данных и финансового
            состояния номера, поэтому предварительно рекомендуем Вам позвонить в наш Центр поддержки Клиентов по
            телефонам: 8 800 1811888,
              1888 звонок бесплатный (для физических лиц); 8 800 1811880,
              1880 звонок бесплатный (для юридических лиц). Документы При визите в офис: Физическому лицу (владельцу номера по абонентскому договору)
            необходимо иметь при себе паспорт, либо свой паспорт и нотариальную доверенность от владельца номера по
            абонентскому договору на право выполнения процедуры переоформления номера. Обратите внимание, по закону РФ
            представитель не может совершать сделки от имени представляемого в отношении себя лично. Представителю юридического лица — действующего Клиента при
            себе необходимо иметь паспорт, заявление о переоформлении, заверенное печатью организации и подписью
            генерального директора. Представителю юридического лица — нового Клиента (если
            юридическое лицо уже имеет действующий контракт по мобильной связи в Ростелеком) при себе необходимо иметь
            паспорт и доверенность от организации на заключение Договора. Представителю юридического лица — нового Клиента (если
            юридическое лицо не имеет действующего контракта по мобильной связи в Ростелеком) при себе необходимо
            иметь: паспорт;доверенность от организации на заключение Договора и
              документы организации;копию Свидетельства о государственной регистрации
              юридического лица с предъявлением оригинала;копию Свидетельства о постановке на учет юридического
              лица в налоговом органе с обязательным предъявлением оригинала. Заявление - https://moscow.rt.ru/sites/default/files/b2b/docs/zayavlenie-na-pereoformlenie-dogovora.pdf"
Управление,Нет,Мобильная связь,Проверить принадлежит ли номер Ростелеком?,"Для проверки принадлежности номера Вашего собеседника Ростелеком наберите бесплатную команду *120*номер в 10-тизначном формате#. Или отправьте бесплатное SMS сообщение, содержащее 10-и значный номер абонента на номер 120."
Управление,Порядок набора номера,Мобильная связь,Как совершать исходящие вызовы и отправлять SMS?,"На федеральные номера абонентов российских
                        операторов мобильной связи:
 +7 [номер абонента]На городские и междугородные номера абонентов:
 +7 [код города][номер абонента]На номера абонентов других стран (международная
                        связь):
 + [код страны] [код города][номер абонента]
или + [код страны][номер мобильного абонента] Такие правила набора действуют как в домашней
                            сети, так и в роуминге. Тарификация осуществляется согласно параметрам
                            Вашего тарифного плана. Для проверки принадлежности набираемого
                            мобильного номера Ростелеком наберите бесплатную команду *120*XXXXXXXXXX#Активный ноль Благодаря этой услуге абоненты Ростелеком
                            всегда остаются на связи и получают все входящие звонки и SMS даже при нулевом балансе.
                            Услуга бесплатна и подключена всем абонентам по умолчанию."
Управление,Порядок набора номера,Мобильная связь,Что такое Междугородная связь?,"Междугородная связь — это звонки в другие города РФ
                        из «домашнего региона». Хотите выгодно звонить друзьям и близким в другие
                        города и страны? Ростелеком создает по-настоящему комфортные условия для долгих разговоров по
                        межгороду! Подключать услугу не нужно, просто совершайте
                        вызовы. Если у Вас предоплатная система расчетов, звонить
                        на телефоны России Вы можете при любом балансе, достаточном для совершения такого звонка. Тарификация осуществляется согласно параметрам
                        Вашего тарифного плана."
Управление,Порядок набора номера,Мобильная связь,Что такое Междунородная связь?,"Международная связь — это звонки в другие страны из
                        «домашнего региона».Подключать услугу не нужно, просто совершайте
                        вызовы.Если у Вас предоплатная система расчетов, звонить
                        на телефоны России Вы можете при любом балансе, достаточном для совершения такого звонка.Тарификация осуществляется согласно параметрам
                        Вашего тарифного плана.Бесплатные команды для управления
                        услугой:Подключение *100*322*1#Отключение *100*322*0#Запрос статуса *100*322*2#"
Управление,Расторжение договора,Мобильная связь,Как расторгнуть договор?,"Расторжение договора с физическим лицом возможно только при условии личного визита владельца по договору или его доверенного лица в Центр продаж и обслуживания - https://moscow.rt.ru/sale-office с необходимыми документами и Заявлением на расторжение договора установленного образца. Датой прекращения действия договора является дата регистрации заявления Обществом, если более поздняя дата не указана в заявлении.
Какие документы нужны для заключения договора:

Расторжение договора оформляется по паспорту РФ. Если Вы не являетесь гражданином РФ, необходим паспорт иностранного гражданина и документ, удостоверяющий адрес регистрации на территории России (при его отсутствии предъявляется миграционная карта (часть Б) с отметкой органов пограничного контроля о дате пересечения границы. При этом, время нахождения иностранного гражданина на территории РФ без регистрации, не должно превышать срока, установленного законодательством РФ.

Если у Вас отсутствует гражданство — возьмите документ, удостоверяющий личность на территории РФ (разрешение на временное проживание, вид на жительство) с указанием сведений о регистрации на территории РФ. Если обратился клиент, который хочет отключить услуги по причине смерти владельца услуг, то он предоставляет свой паспорт и свидетельство о смерти в оригинале.

С формой заявления на расторжение договора можно предварительно ознакомиться здесь - https://moscow.rt.ru/homeinternet/documents."
Настройка,Интернет,Мобильная связь,Как настроить интернет через автоматическую настройку?,"Услуги доступа в интернет подключены всем абонентам
                        по умолчанию. Настройки придут вам в SMS при первом включении SIM-карты. Также они доступны по
                        бесплатной команде *104#."
Настройка,Интернет,Мобильная связь,Как вручную настроить интернет на iOS?,"Интернет Для iPhone / iPad с версией ПО ниже
                        7.x.x: С версией ПО ниже 7.x.x: Настройки / Основные / Сеть
                        / Сотовая сеть передачи данных Для iPhone/iPad с версией ПО 7.x.x:
                     Настройки / Сотовая связь. Вкл. Сотовые данные,
                        выкл. «Включить 3G» / Сотовая сеть передачи данных APN: internet.rtk.ru Имя пользователя: пусто. Пароль: пусто. MMS Для iPhone / iPad с версией ПО ниже
                        7.x.x: Настройки/Основные/Сеть/Сотовая сеть передачи
                        данных/MMS Для iPhone/iPad с версией ПО 7.x.x:
                     Настройки/Сотовая связь (вкл. тумблер «Сотовые
                        данные», ВЫКЛ тумблер «Включить 3G»)/Сотовая сеть передачи данных/MMS APN: mms.rtk.ru Имя пользователя: пусто. Пароль: пусто. Активация 3G/4G Для активации 3G/4G перейдите в раздел «Настройки»
                      Нажмите на пункт «Сотовая связь»   Активируйте переключатель «Включить LTE» (Для iPhone 5 и выше)  Активируйте переключатель «Включить 3G» (Для iPhone 3G и 4)  iMessage На начальной странице главного экрана iOS-устройства
                        нажмите значок «Настройки»/ «Сообщения»; Установите переключатель iMessage в положение
                        «Включено»; Введите Apple ID; появится надпись «Ожидание
                        активации...»; В окне iMessage с сообщением «Оператор сотовой сети
                        может взимать плату за сообщения SMS, использованные для активации iMessage» нажмите OK; После активации надпись «Ожидание активации...»
                        сменится на «Сообщения iMessage могут отправляться между устройствами iPhone, iPad, iPod touch»;
                     "
Настройка,Интернет,Мобильная связь,Как вручную настроить интернет на Android 3 и выше?,Вот интсрукция: https://moscow.rt.ru/sites/default/files/doc/Manual_mobile_Internet_Android3_and_above.pdf
Настройка,Интернет,Мобильная связь,Как вручную настроить интернет на Android 9 и выше?,Вот интсрукция: https://moscow.rt.ru/sites/default/files/doc/Manual_mobile_Internet_Android9_and_above.pdf
Настройка,Интернет в роуминге,Мобильная связь,Как настроить iPhone для выхода в интернет в международном роуминге?,"Обратите внимание на функцию «Роуминг данных». Когда данная функция включена, 
                                Ваш телефон может постоянно поддерживать передачу данных, то есть регулярно «самостоятельно» выходить в интернет. Чтобы избежать дополнительных расходов на связь в международном роуминге, рекомендуем Вам отключать функцию 
                                «Роуминг данных» сразу после окончания интернет-сессии. Для
 этого необходимо зайти в раздел «Настройки», выбрать «Основные», 
«Сотовая связь» (Settings, General, Network), «Параметры данных» и в 
открывшемся окне установить переключатель «Роуминг данных» (Data 
roaming) в положение «оff»."
Настройка,Интернет в роуминге,Мобильная связь,Как настроить Android для выхода в интернет в международном роуминге?,"Обратите внимание на функцию «Роуминг данных» в настройках телефона 
(Настройки — Мобильные сети — Интернет-роуминг). Когда данная функция 
включена, Ваш телефон может постоянно поддерживать передачу данных в 
роуминге, то есть регулярно «самостоятельно» выходить в интернет. Чтобы 
избежать дополнительных расходов на связь в международном роуминге, 
рекомендуем Вам отключать функцию «Интернет-роуминг» сразу после 
окончания каждой интернет-сессии."
Настройка,Интернет в роуминге,Мобильная связь,Как настроить BlackBerry для выхода в интернет в международном роуминге?,"Для этого: зайдите в меню «Сообщения»,выберите «Настройка»,включите пункт «Отчет о доставке». Необходимо
 обратить внимание на функцию «Служба данных». Если данная функция 
включена, то Ваш телефон может постоянно поддерживать передачу данных, 
то есть регулярно «самостоятельно» выходить в интернет. Чтобы избежать 
дополнительных расходов на связь в международном роуминге, рекомендуем 
Вам отключать в телефоне функцию «Службы данных» сразу после окончания 
каждой интернет-сессии вручную. Для этого в разделе «Службы данных» 
выберите «выключить в роуминге»."
Роуминг,Информация,Мобильная связь,Что такое роуминг,"
                Услуги связи в поездках по России — это возможность пользоваться услугами связи за пределами домашнего региона, на
                территории действия мобильной сети Ростелеком.
        
        
                Международный роуминг — это возможность пользоваться услугами мобильной связи по всему миру, регистрируясь в сетях
                операторов, с которыми у Ростелеком заключены роуминговые соглашения.
        
        
        "
Роуминг,Баланс,Мобильная связь,Как проверить баланс,"Баланс в роуминге Вы можете проверить с помощью
                                                        команд так же, как и в домашней сети: для предоплатных тарифов — наберите *102#для постоплатных тарифов — наберите *122#"
Роуминг,Баланс,Мобильная связь,Как пополнить баланс в путешествии?,"В путешествии Вы сможете пополнить баланс: банковской картой на сайте rt.ru/payment или в Личном Кабинете.
                                                                Для абонентов предоплатной системы расчетов с помощью услуги «Обещанный платеж». Чтобы получить «Обещанный
                                                                платеж», наберите *100*17#с помощью «WebMoney», «ЯндексДеньги»."
Роуминг,Сеть,Мобильная связь,"Что делать, если я приехал в другой город, а мой телефон не регистрируется в сети? Могу ли я выбрать сеть вручную?","По прибытии просто включите телефон — он автоматически
                                                        зарегистрируется в одной из сетей, предоставляющих роуминг-услуги абонентам Ростелеком. На экране телефона
                                                        появится название сети местного оператора. Если этого не произошло, выберите сеть вручную в меню телефона."
Роуминг,Услуги,Мобильная связь,Можно ли подключать или отключать услуги в роуминге?,"Где бы Вы ни были, Вы всегда можете управлять своими услугами на нашем сайте в Личном Кабинете - https://lk.rt.ru/ или используя мобильное приложение Ростелеком."
Роуминг,Звонки,Мобильная связь,Как звонить в роуминге?,"В международном роуминге номера телефонов нужно набирать в международном формате: + код страны • код города •
                                                        номер телефона. Например: +442071234567. 
                                                        Чтобы позвонить в Россию на мобильный телефон с федеральным номером, наберите: + 7 • код сети • номер телефона.
                                                        Например: +74959748888."
Роуминг,Звонки,Мобильная связь,Как звонить в нашу службу поддержки?,"Вы всегда сможете позвонить в Центр поддержки клиентов по следующим номерам:
                                                 +7 800 181-1888 — в поездках по России. Звонок бесплатный как с сотового, так и с городского
                                                                телефона.
                                                          +7 495 539-5539 — в международном роуминге. С сотового телефона Ростелеком звонок будет
                                                                бесплатным.
                                                        "
Роуминг,Звонки,Мобильная связь,Как настроить перевод входящих звонков на другие номера? Сколько это стоит в роуминге?,"Настроить переадресацию Вы можете по команде: **62*+7 (код доступа к сети) (номер телефона)#. 
                                                        Номер, на который необходимо переадресовать входящие вызовы, требуется указывать через «+7» 
                                                        Оплата переадресованного вызова составит стоимость по тарифу на входящие / исходящие вызовы в домашний регион в
                                                        соответствии с тарифами на роуминг, действующими в регионе / стране пребывания."
Роуминг,Услуги,Мобильная связь,Какие услуги будут доступны в роуминге?,"В путешествии по России, если Вы выбрали сеть Ростелеком (название сети высвечивается на экране телефона), будут
                                                        доступны все подключенные услуги. При выборе других сетей (как в России, так и в зарубежной поездке) перечень
                                                        доступных услуг определяется возможностями роуминг-партнера.
                                                "
Роуминг,Интернет,Мобильная связь,Как настроить iPhone для выхода в интернет в международном роуминге?," Обратите внимание на функцию «Роуминг данных». Когда данная функция включена, Ваш телефон может постоянно
                                                        поддерживать передачу данных, то есть регулярно «самостоятельно» выходить в интернет. 
                                                        Чтобы избежать дополнительных расходов на связь в международном роуминге, рекомендуем Вам отключать функцию
                                                        «Роуминг данных» сразу после окончания интернет-сессии. 
                                                        Для этого необходимо зайти в раздел «Настройки», выбрать «Основные», «Сотовая связь» (Settings, General,
                                                        Network), «Параметры данных» и в открывшемся окне установить переключатель «Роуминг данных» (Data roaming) в
                                                        положение «оff».
                                                 
                                                        Для этого необходимо зайти в раздел «Настройки», выбрать «Основные», «Сотовая связь» (Settings, General,
                                                        Network), «Параметры данных» и в открывшемся окне установить переключатель «Роуминг данных» (Data roaming) в
                                                        положение «оff».
                                                 
                                                        Для работы услуг Передачи данных в настройках телефона точка доступа APN обязательно должна быть прописана как
                                                        internet.rtk.ru
                                                 Проверить настройку точки доступа APN можно в разделе «Настройки»,
                                                        «Сотовая связь», «Сотовая сеть передачи данных», «APN». При необходимости внести изменения вручную."
Роуминг,Интернет,Мобильная связь,Как настроить Android для выхода в интернет в международном роуминге?," Обратите внимание на функцию «Роуминг данных» в настройках телефона (Настройки — Мобильные сети —
                                                        Интернет-роуминг). Когда данная функция включена, Ваш телефон может постоянно поддерживать передачу данных в
                                                        роуминге, то есть регулярно «самостоятельно» выходить в интернет. Чтобы избежать дополнительных расходов на связь
                                                        в международном роуминге, рекомендуем Вам отключать функцию «Интернет-роуминг» сразу после окончания каждой
                                                        интернет-сессии. Для работы услуг Передачи данных в настройках телефона точка
                                                        доступа APN обязательно должна быть прописана как internet.rtk.ru.
                                                        Проверить настройку точки доступа APN можно в разделе «Настройки», «Беспроводные сети», «Мобильная сеть», «Имя
                                                        точки доступа (APN)». При необходимости внести изменения вручную."
Роуминг,Интернет,Мобильная связь,Как настроить BlackBerry для выхода в интернет в международном роуминге?,"Для этого: зайдите в меню «Сообщения»,выберите «Настройка»,включите пункт «Отчет о доставке». Необходимо обратить внимание на функцию «Служба данных». Если
                                                        данная функция включена, то Ваш телефон может постоянно поддерживать передачу данных, то есть регулярно
                                                        «самостоятельно» выходить в интернет. Чтобы избежать дополнительных расходов на связь в международном роуминге,
                                                        рекомендуем Вам отключать в телефоне функцию «Службы данных» сразу после окончания каждой интернет-сессии
                                                        вручную. Для этого в разделе «Службы данных» выберите «выключить в роуминге».
                                                "
Роуминг,Стоимость услуг,Мобильная связь,Какова стоимость услуг связи при общении на борту самолёта или морского судна?,"При использовании услуг связи на борту самолёта или морского судна их тарификация ведётся как в экзотических
                                                        странах, где выгодные цены на роуминг не действуют."
Справочная информация,Самообслуживание,Мобильная связь,Где найти информацию по самообслуживанию,https://kazan.rt.ru/support/mobile/reference-information/self-service
Справочная информация,Справочники и документы,Мобильная связь,Где найти справочники и правовые документы,https://kazan.rt.ru/support/documents#mobile
Справочная информация,Зона покрытия,Мобильная связь,Где найти информацию по зоне покрытия,https://moscow.rt.ru/mobile/mobile_tariff#zone
Подключение,Нет,Интернет,Как можно отказаться от арендованного роутера/приставки?,"Арендованное оборудование требуется возвратить в офис компании. Оборудование может быть передано абонентом или уполномоченным им лицом. (Приложение №7, пункт 7.5)"
Управление тарифом/услугой,Нет,Интернет,В какое время в течение дня происходит подключение к интернету?,"Подключение к Интернету происходит ежедневно, в том числе и в выходные дни с 09:00 до 21:00. Предварительно сотрудники Контакт - центра за один день до подключения согласуют с Вами день приезда монтажника."
Управление тарифом/услугой,Нет,Интернет,Возможна ли в сети работа через VPN (Virtual Private Network)?,"Да, Вы можете работать с VPN с другими сетями (например, с Вашей корпоративной сетью) из сети ОнЛайм."
Управление тарифом/услугой,Нет,Интернет,Как быстро происходит смена тарифного плана?,"Смена тарифного плана происходит на следующие сутки в 00:00 после подачи заявки.
"
Управление тарифом/услугой,Нет,Интернет,Как изменить действующий тариф?,"• перейти на выбранный тарифный план можно самостоятельно в Личном кабинете;

• позвонив в круглосуточную Службу поддержки абонентов по тел.: 8 800 707 12 12

• в офисах продаж."
Управление тарифом/услугой,Нет,Интернет,Как подключить второй компьютер к сети?,"Если у Вас два компьютера, и оба нужно подключить к сети интернет, мы рекомендуем выбрать один из двух вариантов.

Самый простой – это подключение обоих через Wi-Fi роутер. В этом случае скорость доступа у Вас снижается, но стоимость услуги остается прежней.

Если же Вам нужны два независимых компьютера с высокой скоростью доступа в интернет, то оптимальное решение – это создание двух подключений. В этом случае для каждого подключения Вы выбираете удобный Вам тариф. Скорость подключения не падает, но стоимость услуги увеличивается.

Чтобы оставить заявку на настройку беспроводного доступа у себя дома или второе подключение, обращайтесь по телефону: 8 800 707 8000"
Управление тарифом/услугой,Нет,Интернет,Как часто можно менять тариф?,"Тариф можно менять один раз в сутки.

"
Управление тарифом/услугой,Нет,Интернет,Какие раньше тарифы действовали в ОнЛайм,"ОнЛайм оказывает услуги на следующих Архивных тарифных планах. Архивные тарифы являются действующими. Подключение к архивным тарифным планам или переход с действующих тарифных планов на архивные тарифные планы не производится.

https://moscow.rt.ru/fare_archive"
Управление тарифом/услугой,Нет,Интернет,Можно ли организовать беспроводной доступ в интернет дома?,"Да, конечно. Для тех абонентов, кто предпочитает беспроводной доступ в сеть у себя в квартире, мы предусмотрели несколько вариантов подключения.

Если у Вас только Домашний интернет от ОнЛайм, то оптимальный вариант – это установка Wi-Fi роутера. Мы разместим его непосредственно у входа в квартиру (нужна будет розетка 220 В) и настроим беспроводной доступ к интернету из любой точки Вашей квартиры.

Если же у Вас Домашний интернет и Интерактивное ТВ от ОнЛайм, то лучше всего будет установить Wi-Fi роутера (также у входа в квартиру и также через розетку 220 В) и PLC-адаптеры, чтобы обеспечить беспроводное ТВ.

Чтобы оставить заявку на настройку беспроводного доступа у себя дома, обращайтесь по телефону: 8-800-707-8000"
Управление тарифом/услугой,Смена тарифного плана,Интернет,Как сменить тарифный план?,"Смена тарифа возможна только после разблокировки доступа в Интернет.

Очень быстро тарифный план можно поменять в личном кабинете. Если вы затрудняетесь с выбором тарифного плана или не знаете, как поменять его самостоятельно, вы всегда можете обратиться в службу технической поддержки по телефону 8 800 707 12 12. Наши специалисты учтут ваши пожелания и все сделают за вас.

Сменить тарифный план или подключить дополнительные услуги Вы можете:

• через свой Личный кабинет

• позвонив в Службу поддержки клиентов ОнЛайм 8 800 707 12 12

• приехав в один из офисов продаж

• отправив заявку на onlime@rt.ru"
Управление тарифом/услугой,доступ к сети Интернет от провайдера ОнЛайм,Интернет,Технология доступа к сети Интернет от провайдера ОнЛайм,"Технология доступа к сети Интернет оптическое волокно до здания и витая пара до квартиры абонента.

Преимущество технологии:

• скорость доступа к сети интернет до 890 мбит/сек;

• подключение происходит посредством присоединения кабеля к ПК или wi-fi роутеру;

• при подключении к сети интернет не требуется модем;

• при подключении необходимо наличие сетевой карты/сетевого адаптера. (в большинстве случаев оборудование встроено в материнскую плату)."
Управление тарифом/услугой,Нет,Интернет,Через сколько дней после оформления заявки на подключение услуги я смогу пользоваться интернетом?,"Монтажник приедет в течение 5 дней после оформления заявки. Предварительно оператор контакт-центра созвонится с Вами и согласует время работы на территории вашей квартиры (подключение компьютера к интернету). Все подготовительные работы (подведение кабеля к щитку, заведение договора и счета) будут проведены предварительно."
Управление тарифом/услугой,Нет,Интернет,"Что делать, если пароль или логин в Личный кабинет утеряны?",Восстановить пароль/логин в Личный кабинет можно на странице восстановления логина/пароля или позвонив в службу поддержки по телефону: 8 800 707 12 12.
Управление договором/контактными данными,Нет,Интернет,Как можно проверить состояние Лицевого Счета?,"• В личном кабинете на сайте оператора: www.onlime.ru

• Через оператора Контакт – центра по телефону: 8 800 707 12 12

• SMS – оповещение. Подписаться на регулярное оповещение можно в личном кабинете на сайте оператора: www.onlime.ru"
Управление договором/контактными данными,Нет,Интернет,Как переоформить договор? Как подключить дома вторую линию интернет?,"Для переоформления договора необходимо обратиться в офис, где потребуется предоставить заявление от двух лиц (старый и новый владельцы), либо заявление нового владельца с рукописным заявлением с подписью и копией/оригиналом паспорта от первого владельца; у нового владельца при себе также должен быть паспорт. Договор переоформляется полностью – с остатком средств, бонусными баллами и подключенными услугами.

При отсутствии контактов владельца договора или необходимости дополнительного подключения возможно оформление второго подключения по адресу. В данном случае новому владельцу потребуется предоставить копию паспорта с фотографией, а также договор аренды, документ на собственность или паспорт (страница с пропиской), на электронный адрес onlime@rt.ru, либо в офис компании. В письме необходимо указать номер контактного телефона"
